,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
209,Carlos Baleba,CMR,MF,Brighton,eng  Premier League,21-067,2004.0,20.7,845,838,5,4,5,2,6,1,0,0,0,0,737,2,6
210,Leonardo Balerdi,ARG,DF,Marseille,fr  Ligue 1,26-044,1999.0,20.0,2157,2108,47,37,2,7,0,1,0,0,0,0,2034,2,11
211,Iván Balliu,ALB,DF,Rayo Vallecano,es  La Liga,33-069,1992.0,8.7,406,304,101,5,0,0,13,96,0,0,0,0,303,1,13
212,Fodé Ballo-Touré,SEN,DF,Le Havre,fr  Ligue 1,28-067,1997.0,2.3,115,88,27,11,0,0,14,15,1,0,1,0,96,0,3
213,Botond Balogh,HUN,DF,Parma,it  Serie A,22-278,2002.0,19.8,867,802,65,40,0,1,1,1,0,0,0,0,779,0,7
214,Folarin Balogun,USA,FW,Monaco,fr  Ligue 1,23-251,2001.0,5.2,94,89,4,0,0,0,3,1,0,0,0,0,64,1,4
215,Mario Balotelli,ITA,"FW,MF",Genoa,it  Serie A,34-211,1990.0,0.7,15,14,0,0,0,1,3,0,0,0,0,0,4,1,1
216,Abdoulaye Bamba,CIV,DF,Angers,fr  Ligue 1,34-320,1990.0,10.8,399,383,16,7,1,1,4,9,0,0,0,0,351,0,4
217,Jonathan Bamba,CIV,"FW,MF",Celta Vigo,es  La Liga,28-350,1996.0,9.0,364,347,14,2,3,1,25,11,1,0,0,0,287,3,12
218,Mohamed Bamba,CIV,MF,Reims,fr  Ligue 1,20-154,2004.0,0.1,19,19,0,0,0,1,0,0,0,0,0,0,16,0,1
219,Samuel Bamba,GER,"FW,DF",Bochum,de  Bundesliga,21-026,2004.0,0.2,15,14,1,0,0,0,4,0,1,1,0,0,12,0,1
220,Lameck Banda,ZAM,"FW,MF",Lecce,it  Serie A,24-041,2001.0,5.7,128,124,4,2,1,1,21,1,1,0,1,0,100,0,2
221,Daniel Bandeira,POR,MF,Hellas Verona,it  Serie A,24-334,2000.0,4.5,235,221,14,7,0,1,8,0,7,4,3,0,194,0,1
222,Mattia Bani,ITA,DF,Genoa,it  Serie A,31-091,1993.0,14.8,778,754,22,21,0,3,4,0,0,0,0,0,678,2,5
223,Noahkai Banks,USA,DF,Augsburg,de  Bundesliga,18-100,2006.0,3.0,167,156,11,4,0,0,2,6,0,0,0,0,155,0,0
224,Scott Banks,SCO,"FW,MF",St. Pauli,de  Bundesliga,23-166,2001.0,1.1,30,30,0,0,0,0,4,0,0,0,0,0,18,0,0
225,Adrian Baquerin,ESP,FW,Valladolid,es  La Liga,18-007,2007.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,Antonín Barák,CZE,MF,Fiorentina,it  Serie A,30-098,1994.0,0.6,20,20,0,0,0,0,1,0,0,0,0,0,17,0,0
227,Federico Barba,ITA,DF,Como,it  Serie A,31-191,1993.0,4.8,292,263,29,12,0,1,3,9,0,0,0,0,258,0,0
228,Valentín Barco,ARG,"DF,FW",Sevilla,es  La Liga,20-231,2004.0,3.2,191,141,48,9,2,2,24,30,9,0,5,0,139,2,5
229,Valentín Barco,ARG,"DF,MF",Strasbourg,fr  Ligue 1,20-231,2004.0,4.3,286,244,42,6,0,2,15,33,2,1,0,0,228,0,8
